06/12/15 13:40:29:738 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 2123 | OPMWrapper allocation succeeded
06/12/15 13:40:29:738 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | This product version is for GM
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | URL retreived from dispatchlib https://ims-prod06.adobelogin.com
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Created IMSLib instance with endpoint:https://ims-prod06.adobelogin.com in IMS_createRefExWithXMLParams
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | No Record found for the input fields in opm_getValueForKey
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 2123 | Failed in getting value for key in OPMGetValueForKey domain:OOBE subDomain:ProxyCredentials key:ProxyUsername
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 2123 | Failed to get proxy user name from local db in getProxyCredentialsFromLocalStore
06/12/15 13:40:29:741 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Failed to get proxy credentials from local store in IMS_createRefExWithXMLParams
06/12/15 13:40:29:744 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Performing registeration of client to group
06/12/15 13:40:29:744 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Performing IMS_registerClientToGroup..
06/12/15 13:40:29:744 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Performing opm_getRecords...
06/12/15 13:40:29:744 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:744 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:745 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | returning size of value as:22 in opm_getValueForKey
06/12/15 13:40:29:745 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:745 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
06/12/15 13:40:29:745 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Registered Client to group successfully!
06/12/15 13:40:29:748 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Performing fetch default user for clientID...
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Performing fetchDefaultUserInfoForClientId...
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | OPM |  |  | 2123 | No Record found for the input fields in opm_getValueForKey
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 2123 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CreativeCloud_v1_8
06/12/15 13:40:29:749 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 2123 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Failed to get default user for clientId in fetchDefaultUserInfoForClientId...
06/12/15 13:40:29:749 | [WARN] |  | ASU | OPM | P7Native |  |  | 2123 | failed in IMSLib's fetchDefaultUserInfoForClientId function, in getDefaultUserForClientId
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | IMSLib |  |  | 2123 | Performing releaseData...
06/12/15 13:40:29:749 | [INFO] |  | ASU | OPM | P7Native |  |  | 2123 | Unable to find default user for client_id: CreativeCloud_v1_8
